,precision,recall,f1-score,support
Boys,0.0,0.0,0.0,98.0
Girls,0.0,0.0,0.0,103.0
Men,0.5889774236387783,0.8974704890387858,0.7112120807162903,2965.0
Unisex,0.14285714285714285,0.12213740458015267,0.13168724279835392,262.0
Women,0.6490765171503958,0.23733719247467439,0.34758036029671496,2073.0
accuracy,0.5789856389747319,0.5789856389747319,0.5789856389747319,0.5789856389747319
macro avg,0.2761822167292634,0.2513890172187226,0.23809593676227184,5501.0
weighted avg,0.5688569810162369,0.5789856389747319,0.5205926129489292,5501.0
