,precision,recall,f1-score,support
Casual,0.9326677501741352,0.9447318908748824,0.9386610585348756,4252.0
Ethnic,0.7872340425531915,0.8530259365994236,0.8188105117565698,347.0
Formal,0.826865671641791,0.8219584569732937,0.8244047619047619,337.0
Sports,0.7929606625258799,0.6778761061946903,0.7309160305343512,565.0
accuracy,0.9040174513724777,0.9040174513724777,0.9040174513724777,0.9040174513724777
macro avg,0.8349320317237493,0.8243980976605725,0.8281980906826396,5501.0
weighted avg,0.90266315073201,0.9040174513724777,0.902764230227892,5501.0
