Method,Dim,P@1,P@10,mAP@10,nDCG@10,R-prec,ms/query
Triplet,128,94.4,92.4,91.63,96.07,92.89,0.17
Autoencoder,128,68.75,52.36,48.08,70.35,48.1,0.17
Classical,236,67.75,51.37,46.66,69.93,47.08,0.22
Task3-CNN,384,59.3,43.96,39.05,62.56,39.75,0.18
