model,domain,gender_accuracy,gender_macro_f1,gender_weighted_f1,gender_balanced_accuracy,usage_accuracy,usage_macro_f1,usage_weighted_f1,usage_balanced_accuracy,mean_macro_f1,exact_match
baseline,clean,0.8978367569532812,0.7522152973801136,0.8966890178213603,0.7432712686962898,0.9003817487729504,0.8185825212508178,0.8969720146372963,0.7989145926026404,0.7853989093154656,0.8093073986547901
baseline,heldout_places365,0.5644428285766224,0.24571496594924075,0.5239146065322576,0.2582325956259518,0.748045809852754,0.2691044397029632,0.6805967467129703,0.2740391218084889,0.257409702826102,0.4075622614070169
bg_adapted,clean,0.9031085257225959,0.7756786290963605,0.9019526646139786,0.7810015268081758,0.9040174513724777,0.8281980906826396,0.902764230227892,0.8243980976605725,0.8019383598895,0.8169423741137974
bg_adapted,heldout_places365,0.5626249772768588,0.2442116753151565,0.5142174402030956,0.2592380408451732,0.747500454462825,0.27282759840356813,0.6824928898654413,0.27795251476601174,0.2585196368593623,0.41083439374659153
