split,n,rows_gated,fixed,broken,net,base_accuracy,gated_accuracy,base_weighted_f1,gated_weighted_f1,delta_weighted_f1,base_macro_f1,gated_macro_f1,per_pair_changed
validation,5497,102,43,55,-12,88.885,88.667,88.389,88.208,-0.181,71.979,71.949,"{""Sports Shoes vs Casual Shoes"": 59, ""Tshirts vs Tops"": 43}"
test,5501,124,58,63,-5,88.402,88.311,87.867,87.782,-0.085,73.697,73.681,"{""Sports Shoes vs Casual Shoes"": 66, ""Tshirts vs Tops"": 58}"
