ingest,n_photos,repeats,top1,top1_sd,top1_min,top1_max,top3,family,mean_confidence
nobg,23,7,17.39,0.0,17.39,17.39,34.78,39.13,0.3948
squash,23,1,21.74,0.0,21.74,21.74,39.13,30.43,0.3364
