model,domain,accuracy,weighted_f1,macro_f1,balanced_accuracy,loss
baseline,clean,0.9022747952684258,0.8967555802141361,0.731075375228415,0.7283622436700824,0.7487955003283745
baseline,heldout_places365,0.181073703366697,0.16843788637634738,0.04321098015883251,0.053526067113430005,4.250358800555384
bg_adapted,clean,0.8824385805277525,0.871439051743712,0.6387897412750082,0.6259058165398479,0.8300532698631287
bg_adapted,heldout_places365,0.6211101000909918,0.5795536260530304,0.21124575033889934,0.2013437905956626,1.7228667368722517
