arm,benchmark,index,P@1,P@10,colour@10,colourfam@10,both@10,bothfam@10
A_classical_clean,clean,exact,78.15,69.31,29.22,30.99,21.73,22.89
A_classical_clean,clean,kmeans,77.85,68.87,28.89,30.69,21.39,22.55
A_classical_clean,hard,exact,17.1,16.39,14.72,16.32,3.64,3.88
A_classical_clean,hard,kmeans,16.0,16.05,14.67,16.29,3.56,3.79
A_classical_clean,photo,exact,8.4,10.17,12.04,13.56,1.67,1.84
A_classical_clean,photo,kmeans,8.4,10.48,11.81,13.28,1.66,1.83
A_classical_clean,wild,exact,14.05,13.17,16.39,17.85,3.54,3.72
A_classical_clean,wild,kmeans,13.0,13.06,16.01,17.49,3.54,3.74
A_classical_clean,wildphoto,exact,7.6,8.58,14.59,15.8,1.77,1.91
A_classical_clean,wildphoto,kmeans,7.75,8.77,13.86,15.12,1.69,1.82
B_classical_bgaug,clean,exact,39.05,35.74,17.49,18.88,8.62,9.4
B_classical_bgaug,clean,kmeans,37.5,36.2,18.14,19.55,8.96,9.78
B_classical_bgaug,hard,exact,31.5,28.56,20.45,22.16,8.53,9.03
B_classical_bgaug,hard,kmeans,31.85,29.71,20.54,22.26,8.8,9.32
B_classical_bgaug,photo,exact,23.5,20.93,20.01,21.75,6.48,6.87
B_classical_bgaug,photo,kmeans,23.5,21.69,19.91,21.73,6.54,6.96
B_classical_bgaug,wild,exact,20.45,18.79,19.59,20.86,5.67,5.98
B_classical_bgaug,wild,kmeans,20.1,18.35,18.75,19.97,5.32,5.62
B_classical_bgaug,wildphoto,exact,13.75,13.13,19.37,20.84,3.89,4.17
B_classical_bgaug,wildphoto,kmeans,13.15,12.35,18.23,19.74,3.64,3.88
