model,domain,accuracy,weighted_f1,macro_f1,balanced_accuracy,loss
baseline,clean,0.664488017429194,0.6560457696270797,0.6306095318276945,0.6689314038920691,0.8033225077322159
baseline,heldout_places365,0.36891793754538854,0.37254802698544104,0.3125787162252877,0.33605194097442537,1.3884428068139087
bg_adapted,clean,0.6007625272331155,0.5943133348781076,0.6006769183918659,0.6706346427994841,0.8330425282661942
bg_adapted,heldout_places365,0.42846768336964414,0.4114728194552864,0.3926059873555012,0.48642796560708523,1.169572197842872
