model,domain,gender_accuracy,gender_macro_f1,gender_weighted_f1,gender_balanced_accuracy,usage_accuracy,usage_macro_f1,usage_weighted_f1,usage_balanced_accuracy,mean_macro_f1,exact_match
baseline,clean,0.8978367569532812,0.7522152973801136,0.8966890178213603,0.7432712686962898,0.9003817487729504,0.8185825212508178,0.8969720146372963,0.7989145926026404,0.7853989093154656,0.8093073986547901
baseline,heldout_places365,0.5644428285766224,0.24571496594924075,0.5239146065322576,0.2582325956259518,0.748045809852754,0.2691044397029632,0.6805967467129703,0.2740391218084889,0.257409702826102,0.4075622614070169
bg_adapted,clean,0.898200327213234,0.7722322320116405,0.8975479244089009,0.7771745710212087,0.8963824759134703,0.8141905321862383,0.8942865265740908,0.8122131878259484,0.7932113820989394,0.8062170514451917
bg_adapted,heldout_places365,0.716415197236866,0.360899302455703,0.6888410856226842,0.3399762301297819,0.8078531176149791,0.4986294188739841,0.7688433836230086,0.4313370951922308,0.4297643606648436,0.5664424650063625
