model,domain,gender_accuracy,gender_macro_f1,gender_weighted_f1,gender_balanced_accuracy,usage_accuracy,usage_macro_f1,usage_weighted_f1,usage_balanced_accuracy,mean_macro_f1,exact_match
baseline,clean,0.8978367569532812,0.7522152973801136,0.8966890178213603,0.7432712686962898,0.9003817487729504,0.8185825212508178,0.8969720146372963,0.7989145926026404,0.7853989093154656,0.8093073986547901
baseline,heldout_places365,0.5644428285766224,0.24571496594924075,0.5239146065322576,0.2582325956259518,0.748045809852754,0.2691044397029632,0.6805967467129703,0.2740391218084889,0.257409702826102,0.4075622614070169
bg_adapted,clean,0.9003817487729504,0.770415711193843,0.9001490249753732,0.7743024959088405,0.9043810216324305,0.8302504136855875,0.9026201567399058,0.8302677617696025,0.8003330624397152,0.8156698782039629
bg_adapted,heldout_places365,0.5789856389747319,0.23809593676227184,0.5205926129489292,0.2513890172187226,0.7516815124522814,0.2815388468941964,0.685978260222246,0.2815512585244337,0.2598173918282341,0.42246864206507906
