model,domain,accuracy,weighted_f1,macro_f1,balanced_accuracy,loss
baseline,clean,0.9022747952684258,0.8967555802141361,0.731075375228415,0.7283622436700824,0.7487952473551728
baseline,heldout_places365,0.18070973612374885,0.16810573740410423,0.0431554026404079,0.05347654654442269,4.250358237776646
bg_adapted,clean,0.8815286624203822,0.870602599326318,0.6379881125150632,0.625597864298241,0.8301374607307966
bg_adapted,heldout_places365,0.6194722474977252,0.5779630184526282,0.21028303012188657,0.20059577461472866,1.7226631974065028
