model,domain,accuracy,weighted_f1,macro_f1,balanced_accuracy,loss
baseline,clean,0.664488017429194,0.6560457696270797,0.6306095318276945,0.6689314038920691,0.8033225077322159
baseline,heldout_places365,0.36891793754538854,0.37254802698544104,0.3125787162252877,0.33605194097442537,1.3884428068139087
bg_adapted,clean,0.6697530864197531,0.6729893284014005,0.6390567307030592,0.7035238711273312,0.7631352232961819
bg_adapted,heldout_places365,0.37037037037037035,0.3580137866390415,0.30408914963383715,0.3407119387008479,1.380584121435538
