operating_point,ece_train_prior,ece_graded_prior,graded_mean_confidence,graded_accuracy,confidence_error_pts,note
raw argmax,0.0211,0.0149,0.842,84.71,0.51,ECE train prior = the population the labelled split is drawn from; ECE graded prior = the same rows importance-weighted onto the estimated graded composition. confidence_error_pts is accuracy minus mean confidence: positive means under-confident.
tau=0.2 (shipped),0.0523,0.0313,0.8197,85.05,3.08,ECE train prior = the population the labelled split is drawn from; ECE graded prior = the same rows importance-weighted onto the estimated graded composition. confidence_error_pts is accuracy minus mean confidence: positive means under-confident.
EM prior correction,0.1197,0.0512,0.82,87.11,5.11,ECE train prior = the population the labelled split is drawn from; ECE graded prior = the same rows importance-weighted onto the estimated graded composition. confidence_error_pts is accuracy minus mean confidence: positive means under-confident.
