Model,accuracy,macro_f1,weighted_f1,balanced_acc,top3_acc,top5_acc
Baseline_majority,17.61,0.33,5.28,1.09,,
Classical_LogReg,50.92,37.3,54.74,51.74,76.01,85.02
MLP,72.52,45.24,71.7,48.29,90.98,94.76
CNN_gap_head,80.11,60.06,79.49,62.68,95.34,97.6
CNN_start,82.25,68.49,82.47,71.84,95.96,98.07
CNN_tuned_TEST,82.81,66.99,83.23,72.16,96.16,98.27
Pretrained_ResNet18_probe_TEST (reference only),81.98,61.24,81.6,61.81,95.67,98.14
