system,Top-1 Accuracy,Top-6 Hit Rate,P@6,MRR
CURRENT+nobg,23.809523809523807,28.57142857142857,17.46031746031746,0.875
PLACES+letterbox,4.761904761904762,19.047619047619047,11.111111111111109,0.47916666666666663
