,precision,recall,f1-score,support
Fall,0.5484720758693361,0.701010101010101,0.6154300916346438,1485.0
Spring,0.47706422018348627,0.6842105263157895,0.5621621621621622,228.0
Summer,0.7943680419122462,0.4401306240928882,0.5664254027550782,2756.0
Winter,0.5079726651480638,0.8585178055822906,0.6382826475849732,1039.0
accuracy,0.5994916485112564,0.5994916485112564,0.5994916485112564,0.5994916485112564
macro avg,0.5819692507782831,0.6709672642502673,0.5955750760342144,5508.0
weighted avg,0.6609138702735635,0.5994916485112564,0.5930157479818812,5508.0
