query_id,articleType,P@1,R@1,AP@1,nDCG@1,P@5,R@5,AP@5,nDCG@5,P@10,R@10,AP@10,nDCG@10
43998,Perfume and Body Mist,0.0,0.0,0.0,0.0,0.8,0.00796812749003984,0.5433333333333333,0.2563728216812862,0.6,0.01195219123505976,0.39416666666666667,0.23354061220390349
25711,Caps,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.07067203834354602,0.1,0.004048582995951417,0.01,0.08619780546966949
51034,Nightdress,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.041329878097105394,0.0,0.0,0.0,0.05246602747066761
20554,Mobile Pouch,0.0,0.0,0.0,0.08454209345713619,0.2,0.023255813953488372,0.04,0.11119818083001261,0.1,0.023255813953488372,0.02,0.08792453089393276
16745,Clutches,1.0,0.004975124378109453,1.0,0.47688119626122066,0.4,0.009950248756218905,0.27999999999999997,0.23665728281824672,0.4,0.01990049751243781,0.22730158730158728,0.22287563511669092
30899,Lounge Pants,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.03799080844763425,0.0,0.0,0.0,0.03937649351444267
20969,Belts,1.0,0.0013966480446927375,1.0,0.6935641121633795,1.0,0.006983240223463687,1.0,0.8196580409443149,0.9,0.012569832402234637,0.866388888888889,0.7400286399850216
38687,Clutches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003487185230605223,0.1,0.004975124378109453,0.0125,0.052619269024409276
43246,Jeans,0.0,0.0,0.0,0.01915224298978878,0.2,0.0019880715705765406,0.1,0.2262426542563384,0.4,0.007952286282306162,0.17063492063492064,0.2703197405530092
48761,Jewellery Set,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05532684662593646,0.0,0.0,0.0,0.049620285153570344
42036,Flip Flops,1.0,0.001287001287001287,1.0,0.6935641121633795,0.4,0.002574002574002574,0.27999999999999997,0.30218465092432406,0.4,0.005148005148005148,0.22285714285714286,0.2667987290101464
16986,Flats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02448904216103065,0.0,0.0,0.0,0.02189682251789615
