,precision,recall,f1-score,support
Boys,0.75,0.8571428571428571,0.8,98.0
Girls,0.6336633663366337,0.6213592233009708,0.6274509803921569,103.0
Men,0.9189723320158103,0.9409780775716695,0.9298450258290285,2965.0
Unisex,0.6224066390041494,0.5725190839694656,0.5964214711729622,262.0
Women,0.9214321233217305,0.8938736131210806,0.9074436826640548,2073.0
accuracy,0.898200327213234,0.898200327213234,0.898200327213234,0.898200327213234
macro avg,0.7692948921356647,0.7771745710212087,0.7722322320116405,5501.0
weighted avg,0.8974222181829823,0.898200327213234,0.8975479244089009,5501.0
