,precision,recall,f1-score,support
Casual,0.926208651399491,0.9416745061147695,0.9338775510204081,4252.0
Ethnic,0.759493670886076,0.8645533141210374,0.8086253369272237,347.0
Formal,0.8200589970501475,0.8249258160237388,0.8224852071005917,337.0
Sports,0.786036036036036,0.6176991150442478,0.6917740336967294,565.0
accuracy,0.8963824759134703,0.8963824759134703,0.8963824759134703,0.8963824759134703
macro avg,0.8229493388429377,0.8122131878259484,0.8141905321862383,5501.0
weighted avg,0.8947925344327149,0.8963824759134703,0.8942865265740908,5501.0
