,precision,recall,f1-score,support
Casual,0.9285878829762727,0.9480244590780809,0.9382055161177703,4252.0
Ethnic,0.7957559681697612,0.8645533141210374,0.8287292817679558,347.0
Formal,0.8373493975903614,0.8249258160237388,0.8310911808669657,337.0
Sports,0.7982261640798226,0.6371681415929203,0.7086614173228346,565.0
accuracy,0.9032903108525723,0.9032903108525723,0.9032903108525723,0.9032903108525723
macro avg,0.8399798532040544,0.8186679327039443,0.8266718490188816,5501.0
weighted avg,0.901230236150349,0.9032903108525723,0.9011616695229611,5501.0
