epoch,selection_score,train_accuracy,train_weighted_f1,train_macro_f1,train_balanced_accuracy,train_loss,clean_val_accuracy,clean_val_weighted_f1,clean_val_macro_f1,clean_val_balanced_accuracy,clean_val_loss,bg_val_accuracy,bg_val_weighted_f1,bg_val_macro_f1,bg_val_balanced_accuracy,bg_val_loss,lr,seconds
1,0.432605812561526,0.42981149892855847,0.4357532429250508,0.38740390364387245,0.45581195379081985,1.2009493390534705,0.5664246823956443,0.5710107296234269,0.5351469426397888,0.6585797453185932,0.8670644045903765,0.36533575317604355,0.3397329341329312,0.33006468248326326,0.43783275476132594,1.2334955040065723,9.638427779428613e-05,64.33062052726746
2,0.46764159966462465,0.43555006719209677,0.43744395136168324,0.3998304932438894,0.4988648189192134,1.1195574429084973,0.6063520871143375,0.6074261762359482,0.5870396972244882,0.6662111173432456,0.8395459782118084,0.3874773139745917,0.3597318122916877,0.34824350210476107,0.4487840450541042,1.1966456805152454,8.608757210636101e-05,63.14862895011902
3,0.4922975784482021,0.4598118621290815,0.4650063070523113,0.42403799475629217,0.5256309783388278,1.078817291768687,0.6110707803992741,0.6100921154247697,0.6069265294089972,0.6780384235195777,0.8251549743715374,0.4148820326678766,0.4052039799239563,0.377668627487407,0.4690554000184244,1.168123219890156,7.067746303734177e-05,64.52462601661682
4,0.4913023765073772,0.4649693095558058,0.46988045991884236,0.4289456967096663,0.5262334719034301,1.068077424839312,0.6186932849364791,0.6199096374565483,0.6000565684748514,0.6766656336816851,0.8061496401312708,0.4188747731397459,0.40708754995768776,0.3825481845399029,0.48337082870015613,1.1511365079331672,5.25e-05,64.45859003067017
5,0.483787680444927,0.4735045218465115,0.47703858547179395,0.43758193960532143,0.5359396528077193,1.0567680022002925,0.5960072595281307,0.5911354118681597,0.5868001159219993,0.674204628003327,0.8193689007526157,0.41379310344827586,0.39521403509457304,0.38077524496785464,0.4933932337255349,1.145298567311517,3.4322536962658244e-05,65.44467902183533
6,0.4933024741423201,0.48661606072712743,0.49146431837202753,0.45244758628795423,0.556423169761795,1.0335543630018036,0.6014519056261343,0.5989702220994342,0.587490061191545,0.6796526899290575,0.8154215333105503,0.4368421052631579,0.4222025353791656,0.39911488709309517,0.49004820743828015,1.132822310102397,1.8912427893639e-05,64.97419857978821
7,0.5031630709008081,0.49337159045509027,0.49696733561585105,0.4586737270209988,0.5537509778259013,1.029991141881301,0.6056261343012704,0.5999161386936365,0.6116438782654525,0.6800719848349114,0.7992032706394963,0.43121597096188746,0.4137722504208382,0.39468226353616376,0.4881936588715229,1.1329744602071827,8.615722205713882e-06,64.96371626853943
8,0.5029572384990716,0.4941706316057095,0.49960747700421276,0.457612125191732,0.5541708424936843,1.0272102160962717,0.6038112522686025,0.5978189792586026,0.605314868028289,0.6818754458431553,0.7988971887991346,0.43920145190562615,0.42987973211402797,0.4005996089698541,0.4916422598168231,1.1234080469471284,5e-06,63.782777309417725
